number,value,datetime_start,datetime_complete,duration,params_alpha,params_conv_filters,params_dense_units,params_initial_lr,user_attrs_param_count,system_attrs_tpe:relative_params:0,state
0,0.703832745552063,2026-09-07 11:43:59.340018,2026-09-07 11:44:24.840545,0 days 00:00:25.500527,0.0013011167242735313,16,16,0.0036653468532921248,84789,,COMPLETE
1,0.7883275151252747,2026-09-07 11:44:24.841054,2026-09-07 11:44:55.623699,0 days 00:00:30.782645,0.0022761609138410104,16,8,0.00038057559676108463,42501,,COMPLETE
2,0.4285714328289032,2026-09-07 11:44:55.624218,2026-09-07 11:45:08.174598,0 days 00:00:12.550380,0.0011705578067942673,48,8,0.0001034777511695215,127397,,COMPLETE
3,0.445993036031723,2026-09-07 11:45:08.175120,2026-09-07 11:45:19.045608,0 days 00:00:10.870488,0.037172989724317755,24,16,0.0007637214552620232,127133,,COMPLETE
4,0.6663762927055359,2026-09-07 11:45:19.046097,2026-09-07 11:46:28.160769,0 days 00:01:09.114672,0.03413698105689644,48,8,0.0016533488152187888,127397,,COMPLETE
5,0.7299651503562927,2026-09-07 11:46:28.161279,2026-09-07 11:47:08.029286,0 days 00:00:39.868007,0.09215496116666132,24,64,0.0009188711481982833,507581,,COMPLETE
6,0.48867595195770264,2026-09-07 11:47:08.029841,2026-09-07 11:47:16.130006,0 days 00:00:08.100165,0.001981105797397902,24,32,0.0012598979787083948,253949,,COMPLETE
7,0.8135888576507568,2026-09-07 11:47:16.130627,2026-09-07 11:47:36.362159,0 days 00:00:20.231532,0.09739418853061156,16,64,0.004702995816715744,338517,,COMPLETE
8,0.7630661725997925,2026-09-07 11:47:36.362826,2026-09-07 11:48:15.748588,0 days 00:00:39.385762,0.07662058434325815,32,64,0.00048006588255202815,676645,,COMPLETE
9,0.4425086975097656,2026-09-07 11:48:15.749087,2026-09-07 11:48:23.386046,0 days 00:00:07.636959,0.008811493326308132,24,8,0.002268239052004333,63725,,COMPLETE
10,0.7674216032028198,2026-09-07 11:48:23.386568,2026-09-07 11:48:44.282446,0 days 00:00:20.895878,0.0374503565246972,32,64,0.009948672736962537,676645,"{""alpha"": 0.0374503565246972, ""conv_filters"": 32, ""dense_units"": 64, ""initial_lr"": 0.009948672736962537}",COMPLETE
11,0.7125435471534729,2026-09-07 11:48:44.283002,2026-09-07 11:49:14.795479,0 days 00:00:30.512477,0.01608897340448538,16,8,0.00034969069003560124,42501,"{""alpha"": 0.01608897340448538, ""conv_filters"": 16, ""dense_units"": 8, ""initial_lr"": 0.00034969069003560124}",COMPLETE
12,0.7979093790054321,2026-09-07 11:49:14.796035,2026-09-07 11:49:33.921945,0 days 00:00:19.125910,0.007903649043495845,16,64,0.002399313274867022,338517,"{""alpha"": 0.007903649043495845, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.002399313274867022}",COMPLETE
13,0.6306620240211487,2026-09-07 11:49:33.922503,2026-09-07 11:49:53.997867,0 days 00:00:20.075364,0.012031930156192902,16,64,0.001841796750627157,338517,"{""alpha"": 0.012031930156192902, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.001841796750627157}",COMPLETE
14,0.6872822046279907,2026-09-07 11:49:53.998416,2026-09-07 11:50:18.823582,0 days 00:00:24.825166,0.004369133544986221,64,64,0.0094225614583989,1352901,"{""alpha"": 0.004369133544986221, ""conv_filters"": 64, ""dense_units"": 64, ""initial_lr"": 0.0094225614583989}",COMPLETE
15,0.7987805008888245,2026-09-07 11:50:18.824154,2026-09-07 11:50:48.811087,0 days 00:00:29.986933,0.07869748217094451,24,64,0.0029752972627014396,507581,"{""alpha"": 0.07869748217094451, ""conv_filters"": 24, ""dense_units"": 64, ""initial_lr"": 0.0029752972627014396}",COMPLETE
16,0.7735191583633423,2026-09-07 11:50:48.811797,2026-09-07 11:51:39.462210,0 days 00:00:50.650413,0.0828269440791818,64,64,0.0027898785435832613,1352901,"{""alpha"": 0.0828269440791818, ""conv_filters"": 64, ""dense_units"": 64, ""initial_lr"": 0.0027898785435832613}",COMPLETE
17,0.7770034670829773,2026-09-07 11:51:39.463687,2026-09-07 11:52:03.765305,0 days 00:00:24.301618,0.019769789611956107,24,64,0.00400383598681391,507581,"{""alpha"": 0.019769789611956107, ""conv_filters"": 24, ""dense_units"": 64, ""initial_lr"": 0.00400383598681391}",COMPLETE
18,0.7587108016014099,2026-09-07 11:52:03.765887,2026-09-07 11:52:19.776879,0 days 00:00:16.010992,0.041258890431430585,16,64,0.0015534200451391472,338517,"{""alpha"": 0.041258890431430585, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.0015534200451391472}",COMPLETE
19,0.49041810631752014,2026-09-07 11:52:19.777476,2026-09-07 11:52:51.091678,0 days 00:00:31.314202,0.09400550152507003,16,8,0.009150221219709055,42501,"{""alpha"": 0.09400550152507003, ""conv_filters"": 16, ""dense_units"": 8, ""initial_lr"": 0.009150221219709055}",COMPLETE
20,0.7630661725997925,2026-09-07 11:52:51.092377,2026-09-07 11:53:04.596027,0 days 00:00:13.503650,0.0479370811385632,16,64,0.003278250401822046,338517,"{""alpha"": 0.0479370811385632, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.003278250401822046}",COMPLETE
21,0.7482578158378601,2026-09-07 11:53:04.596590,2026-09-07 11:54:34.085832,0 days 00:01:29.489242,0.003718666034765008,64,64,0.003546089368474001,1352901,"{""alpha"": 0.003718666034765008, ""conv_filters"": 64, ""dense_units"": 64, ""initial_lr"": 0.003546089368474001}",COMPLETE
22,0.6202090382575989,2026-09-07 11:54:34.086479,2026-09-07 11:54:49.574344,0 days 00:00:15.487865,0.025513775594481806,16,32,0.007094769913558484,169365,"{""alpha"": 0.025513775594481806, ""conv_filters"": 16, ""dense_units"": 32, ""initial_lr"": 0.007094769913558484}",COMPLETE
23,0.7264808416366577,2026-09-07 11:54:49.574899,2026-09-07 11:55:20.763807,0 days 00:00:31.188908,0.005796017396060128,16,64,0.0010201639745892087,338517,"{""alpha"": 0.005796017396060128, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.0010201639745892087}",COMPLETE
24,0.8092334270477295,2026-09-07 11:55:20.764932,2026-09-07 11:55:46.173192,0 days 00:00:25.408260,0.08409445934475437,16,64,0.0013518343500392186,338517,"{""alpha"": 0.08409445934475437, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.0013518343500392186}",COMPLETE
25,0.75,2026-09-07 11:55:46.173700,2026-09-07 11:56:33.073184,0 days 00:00:46.899484,0.07111367594851176,64,64,0.006481521649235252,1352901,"{""alpha"": 0.07111367594851176, ""conv_filters"": 64, ""dense_units"": 64, ""initial_lr"": 0.006481521649235252}",COMPLETE
26,0.7203832864761353,2026-09-07 11:56:33.073846,2026-09-07 11:56:48.672899,0 days 00:00:15.599053,0.07116035901663716,16,32,0.0011720215310979084,169365,"{""alpha"": 0.07116035901663716, ""conv_filters"": 16, ""dense_units"": 32, ""initial_lr"": 0.0011720215310979084}",COMPLETE
27,0.7865853905677795,2026-09-07 11:56:48.673449,2026-09-07 11:57:09.785860,0 days 00:00:21.112411,0.04179707837911569,16,64,0.0006489358035070282,338517,"{""alpha"": 0.04179707837911569, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.0006489358035070282}",COMPLETE
28,0.7595818638801575,2026-09-07 11:57:09.786419,2026-09-07 11:57:38.408729,0 days 00:00:28.622310,0.07697482162151328,32,64,0.0017560015849873284,676645,"{""alpha"": 0.07697482162151328, ""conv_filters"": 32, ""dense_units"": 64, ""initial_lr"": 0.0017560015849873284}",COMPLETE
29,0.4878048896789551,2026-09-07 11:57:38.409379,2026-09-07 11:58:18.724136,0 days 00:00:40.314757,0.07401435484887232,24,16,0.0018466971193626049,127133,"{""alpha"": 0.07401435484887232, ""conv_filters"": 24, ""dense_units"": 16, ""initial_lr"": 0.0018466971193626049}",COMPLETE
30,0.7560975551605225,2026-09-07 11:58:18.724706,2026-09-07 11:58:37.558364,0 days 00:00:18.833658,0.05516478149746425,24,64,0.00457763539180027,507581,"{""alpha"": 0.05516478149746425, ""conv_filters"": 24, ""dense_units"": 64, ""initial_lr"": 0.00457763539180027}",COMPLETE
31,0.7256097793579102,2026-09-07 11:58:37.558865,2026-09-07 11:59:29.075988,0 days 00:00:51.517123,0.0023080558999912693,48,64,0.0020181447817237646,1014773,"{""alpha"": 0.0023080558999912693, ""conv_filters"": 48, ""dense_units"": 64, ""initial_lr"": 0.0020181447817237646}",COMPLETE
32,0.5844947695732117,2026-09-07 11:59:29.076531,2026-09-07 11:59:50.848885,0 days 00:00:21.772354,0.01248842769068209,48,64,0.006494425361368594,1014773,"{""alpha"": 0.01248842769068209, ""conv_filters"": 48, ""dense_units"": 64, ""initial_lr"": 0.006494425361368594}",COMPLETE
33,0.6149826049804688,2026-09-07 11:59:50.849394,2026-09-07 12:00:21.084472,0 days 00:00:30.235078,0.06734211454803646,16,8,0.004130018431616129,42501,"{""alpha"": 0.06734211454803646, ""conv_filters"": 16, ""dense_units"": 8, ""initial_lr"": 0.004130018431616129}",COMPLETE
34,0.4695121943950653,2026-09-07 12:00:21.085026,2026-09-07 12:00:31.862621,0 days 00:00:10.777595,0.020797063209436854,24,64,0.001076220852870527,507581,"{""alpha"": 0.020797063209436854, ""conv_filters"": 24, ""dense_units"": 64, ""initial_lr"": 0.001076220852870527}",COMPLETE
35,0.796167254447937,2026-09-07 12:00:31.863287,2026-09-07 12:01:11.980973,0 days 00:00:40.117686,0.026351664640308962,32,64,0.0005848541579252084,676645,"{""alpha"": 0.026351664640308962, ""conv_filters"": 32, ""dense_units"": 64, ""initial_lr"": 0.0005848541579252084}",COMPLETE
36,0.6864111423492432,2026-09-07 12:01:11.981518,2026-09-07 12:01:26.766509,0 days 00:00:14.784991,0.033690950395709324,16,64,0.005108025193802159,338517,"{""alpha"": 0.033690950395709324, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.005108025193802159}",COMPLETE
37,0.7238675951957703,2026-09-07 12:01:26.767255,2026-09-07 12:01:44.673013,0 days 00:00:17.905758,0.09453784895514389,16,64,0.003912535613614239,338517,"{""alpha"": 0.09453784895514389, ""conv_filters"": 16, ""dense_units"": 64, ""initial_lr"": 0.003912535613614239}",COMPLETE
38,0.7717769742012024,2026-09-07 12:01:44.673751,2026-09-07 12:02:43.988377,0 days 00:00:59.314626,0.024386157392659702,48,64,0.0023301466839228163,1014773,"{""alpha"": 0.024386157392659702, ""conv_filters"": 48, ""dense_units"": 64, ""initial_lr"": 0.0023301466839228163}",COMPLETE
