number,value,datetime_start,datetime_complete,duration,params_filters_0,params_filters_1,params_filters_2,params_filters_3,params_n_conv_layers,params_padding_0,params_padding_1,params_padding_2,params_padding_3,params_pool_0,params_pool_1,params_pool_2,params_pool_3,user_attrs_macs,user_attrs_macs_ratio,user_attrs_val_accuracy,system_attrs_tpe:relative_params:0,state
0,0.10584737640189675,2026-09-16 13:55:07.870871,2026-09-16 13:55:26.665390,0 days 00:00:18.794519,32,48,,,2,valid,valid,,,1,2,,,15083376.0,0.2666290499806967,0.12717770040035248,,COMPLETE
1,,2026-09-16 13:55:26.666789,2026-09-16 13:55:27.075454,0 days 00:00:00.408665,48,16,24.0,24.0,4,same,valid,same,same,4,1,2.0,4.0,,,,,PRUNED
2,,2026-09-16 13:55:27.075942,2026-09-16 13:55:27.145069,0 days 00:00:00.069127,24,24,48.0,,4,same,same,same,,4,4,4.0,,,,,,PRUNED
3,0.7195287849392464,2026-09-16 13:55:27.145611,2026-09-16 13:56:09.475056,0 days 00:00:42.329445,24,32,,,2,valid,valid,,,2,2,,,1836160.0,0.032457826179799275,0.7221254110336304,,COMPLETE
4,0.7199369105606822,2026-09-16 13:56:09.475579,2026-09-16 13:57:21.246001,0 days 00:01:11.770422,32,32,,,2,valid,valid,,,1,1,,,10171168.0,0.1797958799829735,0.7343205809593201,,COMPLETE
5,,2026-09-16 13:57:21.247442,2026-09-16 13:57:21.342373,0 days 00:00:00.094931,16,32,32.0,,4,same,valid,same,,4,4,4.0,,,,,,PRUNED
6,0.3312109306929433,2026-09-16 13:57:21.342804,2026-09-16 13:57:32.520878,0 days 00:00:11.178074,24,48,,,2,same,same,,,4,1,,,1090176.0,0.01927105650563614,0.33275261521339417,,COMPLETE
7,,2026-09-16 13:57:32.521780,2026-09-16 13:57:32.584213,0 days 00:00:00.062433,24,48,16.0,24.0,4,valid,same,valid,valid,2,2,2.0,,,,,,PRUNED
8,0.31836421741097976,2026-09-16 13:57:32.584901,2026-09-16 13:57:56.050507,0 days 00:00:23.465606,48,24,,,2,valid,valid,,,4,4,,,934968.0,0.01652744250374399,0.3196864128112793,,COMPLETE
9,,2026-09-16 13:57:56.051919,2026-09-16 13:57:56.180463,0 days 00:00:00.128544,48,32,24.0,24.0,4,valid,same,valid,valid,2,1,4.0,4.0,,,,,PRUNED
10,0.7216226778461032,2026-09-16 13:57:56.180994,2026-09-16 13:59:14.889103,0 days 00:01:18.708109,32,32,,,2,valid,same,,,1,1,,,11442976.0,0.20227764791064765,0.7378048896789551,"{""filters_0"": 32, ""filters_1"": 32, ""n_conv_layers"": 2, ""padding_0"": ""valid"", ""padding_1"": ""same"", ""pool_0"": 1, ""pool_1"": 1}",COMPLETE
11,0.3842633785688083,2026-09-16 13:59:14.890767,2026-09-16 13:59:44.031304,0 days 00:00:29.140537,48,32,,,2,valid,same,,,1,1,,,17164384.0,0.3034150577048448,0.4085365831851959,"{""filters_0"": 48, ""filters_1"": 32, ""n_conv_layers"": 2, ""padding_0"": ""valid"", ""padding_1"": ""same"", ""pool_0"": 1, ""pool_1"": 1}",COMPLETE
12,0.10669474174900967,2026-09-16 13:59:44.031841,2026-09-16 14:00:01.204344,0 days 00:00:17.172503,32,32,16.0,,3,valid,valid,valid,,1,1,1.0,,14484176.0,0.2560369831417852,0.12717770040035248,"{""filters_0"": 32, ""filters_1"": 32, ""n_conv_layers"": 3, ""padding_0"": ""valid"", ""padding_1"": ""valid"", ""pool_0"": 1, ""pool_1"": 1}",COMPLETE
13,0.7754095288213801,2026-09-16 14:00:01.205947,2026-09-16 14:01:28.685450,0 days 00:01:27.479503,32,32,,,2,same,same,,,1,1,,,12830560.0,0.22680598982086822,0.7935540080070496,"{""filters_0"": 32, ""filters_1"": 32, ""n_conv_layers"": 2, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 1, ""pool_1"": 1}",COMPLETE
14,0.684817204087646,2026-09-16 14:01:28.687115,2026-09-16 14:02:56.556145,0 days 00:01:27.869030,32,32,,,2,same,same,,,1,2,,,12830560.0,0.22680598982086822,0.7029616832733154,"{""filters_0"": 32, ""filters_1"": 32, ""n_conv_layers"": 2, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 1, ""pool_1"": 2}",COMPLETE
15,0.26615078205586296,2026-09-16 14:02:56.560561,2026-09-16 14:03:11.919330,0 days 00:00:15.358769,32,32,32.0,,3,same,same,valid,,2,1,1.0,,5826400.0,0.10299335485686568,0.27439025044441223,"{""filters_0"": 32, ""filters_1"": 32, ""n_conv_layers"": 3, ""padding_0"": ""same"", ""padding_1"": ""same"", ""pool_0"": 2, ""pool_1"": 1}",COMPLETE
